Survey ID number:Please enter your 4-digit Survey ID number below,ID,Gender,Ethnic,PTJob,CigsOk,AlcOk,MariOk,DrugsBad,SchoolPercept,PhysActive,ContWorkSmok,ContWorkDrink,WorkerSmoke,WorkerDrink,WorkQuitSmoke,WorkQuitDrink,ContPersSmoke,ContPersDrink,PersonSmoke,PersonDrink,PosSmoke,Pos Drink,OtherMaleSmok,FatherSmoke,MotherSmoke,OtherFemSmok,BroSmoke,SisSmoke,Adult Smoke,Sibling Smoke,FemaleSmoke,MaleSmoke,FemQuitSmok,MaleQuitSmok,SibQuitSmoke,FatherSmoke1,MotherSmoke1,BroSmoke1,SisSmoke1,OtherMaleSmok1,OtherFemSmok1,FemaleDrink,MaleDrink,SiblingDrink,FemQuitDrink,MaleQuitDrink,SibQuitDrink,FatherDrink1,MaleDrink1,FemDrink1,MotherDrink1,OldBroDrink1,OldSisDrink1,FatherQuitD,MaleQuitD,MomQuitD,FemaleQuitD,BroQuitD,SisQuitD
1023,1,1,4,1,1,1,1,2,80,101,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2
1002,2,1,4,1,1,1,1,2,81,101,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,3,1,2,1,1,1,1,2,2,1,2,1,3,1,1,1,2,1,2,1,1,1,1,1
1016,3,2,4,1,1,2,1,1,83,101,1,1,1,1,1,1,3,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1
1027,4,2,3,1,1,1,1,2,95,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1017,5,1,4,1,1,1,1,2,73,99,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,3,1,1,3,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
1009,6,1,4,1,1,1,1,2,75,101,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1021,7,2,1,1,1,1,1,2,75,101,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1028,8,2,4,1,1,1,1,2,51,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,3,3,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1
1025,9,1,3,1,1,1,1,2,51,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
1005,10,2,2,2,1,1,1,2,101,81,65,101,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1
